1;0;;1
2;0;;4
3;0;;9
5;0;;25
8;0;;64
13;0;;169
21;0;;441
34;0;;1156
55;0;;3025
89;0;;7921
144;0;;20736
233;2;;54289
377;3;;142129
610;8;;372100
987;18;;974169
1597;49;;2550409
2584;123;;6677056
4181;300;;17480761
6765;763;;45765225
10946;1975;;119814916
17711;5218;;313679521
28657;14414;;821223649
46368;40317;;2149991424
75025;110855;;5628750625
