1;2293;
2;2312;
3;2326;
5;2337;
8;2348;
13;2361;
21;2375;
34;2390;
55;2410;
89;2421;
144;2434;
233;2450;
377;2461;
610;2473;
987;2541;
1597;2555;
2584;2567;
4181;2588;
6765;2599;
10946;2613;
17711;2626;
28657;2640;
46368;2653;
75025;2672;
121393;2693;
196418;2716;
317811;2744;
514229;2784;
832040;3121;
1346269;3147;
2178309;3178;
3524578;3194;
5702887;3224;
9227465;3252;
14930352;3274;
1;2318;
2;2338;
3;2347;
5;2358;
8;2371;
13;2385;
21;2398;
34;2412;
55;2425;
89;2439;
144;2454;
233;2473;
377;2484;
610;2497;
987;2569;
1597;2581;
2584;2592;
4181;2604;
6765;2618;
10946;2629;
17711;2642;
28657;2655;
46368;2671;
75025;2687;
121393;2705;
196418;2722;
317811;2746;
514229;2755;
832040;3577;
1346269;3614;
2178309;3641;
3524578;3726;
5702887;3746;
9227465;3768;
14930352;3799;
24157817;3817;
39088169;3830;
63245986;3891;
102334155;3917;
165580141;3930;
267914296;3944;
433494437;4064;
701408733;4829;
