1;0;
2;0;
3;0;
5;0;
8;0;
13;0;
21;0;
34;0;
55;0;
89;0;
144;0;
233;0;
377;0;
610;0;
987;0;
1597;0;
2584;0;
4181;0;
6765;1;
10946;1;
17711;2;
28657;4;
46368;7;
75025;12;
121393;20;
196418;38;
317811;61;
514229;100;
832040;159;
1346269;255;
2178309;418;
3524578;679;
5702887;1159;
9227465;1915;
14930352;3205;
24157817;5315;
39088169;8802;
63245986;14491;
1;198;
2;422;
3;449;
5;473;
8;492;
13;521;
21;582;
34;624;
55;673;
89;728;
144;804;
233;920;
377;1143;
610;1604;
987;2110;
1597;2883;
2584;4153;
4181;6268;
6765;10466;
10946;16506;
17711;34932;
28657;52533;
46368;84033;
75025;133549;
121393;226352;
196418;376977;
317811;615305;
514229;1021891;
832040;1709727;
1346269;2823305;
2178309;4718746;
3524578;7880017;
5702887;12593776;
9227465;20425805;
14930352;33755533;
24157817;55195133;
39088169;90666687;
63245986;151002278;
